title,rating,body
Unreliable earphones with high cost,1.0,"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks."
Honest review of an edm music lover,3.0,No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
Really good and durable.,4.0,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear."
"A good earphone but with some issues, read this to find out more",4.0,"I'll get straight to the pros and cons of Boat Rockerz 255 Pro Bluetooth earphones.PROS:1. Sound- compared to the non-pro version, it seems to me that there's slight improvement in quality. Not that it is very noticeable, but a slight improvement.Bass- has got good quality and quantity of bass compared to others in the same price range. The bass is clean, tight and is not muddy like realme bluetooth earphones.Vocals- the vocals are clear and crisp.Loudness- it is loud enough to be heard in a noisy environment.2. Comfort- the earphones are comfortable to wear but without the ear guides. Maybe that's just me, but wearing along with the ear guides gave me pain in the ears which eased off once the ear guides were removed.3. Design- it is of neckband design that is comfortable to wear. The buds have got magnets in it which helps it stick to one another when hanged down so that no tangling occurs.4. Colour- comes in some trendy colours like yellow, teal green, blue and red. The youngsters would love this just for that.5. Fast charging- gets completely charged in just an hour and has got high voltage protection too.6. Sound isolation- nothing to brag about but comparable with others in the same price segment.7.Mic- the calls were very clear. The person at the other end told me that the voice was audible without any disturbances and indeed very clear.8. Connectivity- this has got the A2DP feature. So dual connectivity is present and I did not experience any connection drops of any kind.9. No Lag- there was no lag experienced while playing PUBG.CONS:1. Battery- this is the biggest gripe anyone could have with this earphone. The battery gets emptied quickly compared with its peers. Though there's fast charging one would expect headphones in this price range to last at least 10 to 12 hours but not Rockers PRO lasts for almost 6 to 8 hours. That's what I got out of them and that was not enough.2. Price- the asking price of 1599rs is high. You may get it for 1200rs during offers. Even then it is not value for money because of the poor battery backup.3. No auto on-off with magnetic buds- the feature which is present in Realme bluetooth earphones. This feature could have improved the battery life of this pair very much but alas it doesn't have it.Final words:Boat Rockerz 255 Pro bluetooth earphones are good in terms of sound quality and trendiness but lack in terms of battery backup. Though there are several pros than cons it all comes down to the battery life and this one loses out on that badly.Other options in the same price range - LoodAudio Everloop (good @1169rs), Boat rockerz 255( when in offer @ 999rs), Blaupunkt BE50(999rs during offer or even @ 1399rs), Sony WI-200( pricey @1699rs and high in treble), Realme bluetooth earphones(@1599rs poor in sound quality but better in all other terms).Thank you for reading. Cheers!!!"
Charging port not working,1.0,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one."
धांसू Bass & जबरदस्त Battery.,4.0,"Hey Guys,,,,,,, it's Value for money if you get under ₹1500. Bass was quite good it's thumping & Deep Bass tuned for Basshead type peoples. Vocals and treble also balanced if you used this below 80% volume. Instruments separation also quite nice. Battery Performance was Outstanding you got approximately 33-34 hours on 100% volume. While gaming little bit or minor delays in video & Audio but when watching videos on youtube or other video platforms on smartphone i didn't notice any delays. Also comfortable in my testing when using continuously 6 hours. Dual pairing worked. IPX7 water certification is good i tested it properly no issues. But you didn't get call vibration feature also no smart magnetic earbuds.I gave 4 stars because of overwhelming Bass on full volume.-:UPDATE CONS:- Guys still(9th feb) Using as primary earphone i Observed slight Hissss Noise in Background while listening music or watching videos. I observe more while not in use i means connected with smartphone but not in use or playing music. It's Big Con for a Audiophile type person. Keep it in mind before Buy."
Just Awesome Wireless Headphone under 1000...😉,5.0,Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
stopped working in just 14 days,1.0,Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
Great sound with worst mic.,3.0,After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
Very very bad Durabity,1.0,The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
Disappointed,1.0,What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
Good Earphones with good sound quality and build quality,3.0,Received this BoAt 255 earphones yesterday evening.Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.Connectivity is quick. Detects and connects easily.Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.Earphone wire could be bit long. But that's fine for me. Not sure about others.Didn't get chance to charge so not sure about the time to full charge.One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.But overall performance was nice. Good experience.
Extremely good BT earphones!! Loud and Super BASS.,5.0,"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro."
Nice product,4.0,"Nice product,Rockers 255 pro is much better than Rockers 255....gud one from boat"
Not at all expected this on 0th Day of purchase,1.0,Right speaker is not working at all. Useless product.Big disappointment.
Running has become comfortable now,4.0,The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.
"Sound, build quality and battery backup 👌",5.0,Sound quality and build quality is good.. Battery backup is one of the best thing i liked in it.. Definitely you will enjoy the bass of this ear phones...
"Below average product, don’t buy",1.0,"Below average product. Not happy at all.Pros : good sound qualityCons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.Battery life is just ok. Once give a low battery alarm, dies within 2 minLittle heavy on earsNo return possible"
Good product with decent pros,3.0,"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.Sound quality 4/5)- pretty good with good amount of bass.Durability (4/5)- the material seems durable and the earphones are light weightBattery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangeCall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted."
Not up to the mark product by boat.,2.0,The product is not worth for 1500/- rsYou can get maximum sound but no quality.It seems they have worked hard on Volume level but not on sound quality.Packing was good.Delivery was fast as it took only one day to deliver.Two stars for packaging and delivery.
Good Sound bad designed,4.0,This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
Satisfied totally,5.0,"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!"
Don't buy,1.0,Rightside speaker stop working within 20 days.
Dont buy it.,1.0,"Although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. I bought this product withing a week controls where stop responding cant switch on or do anything.replaced it got refund bought another piece different color that worn out in a day.Both the time seller was "" Appario Retail Private Ltd"". So i leave it to your wisdom whether you want to buy this or not. I will never buy this brand at least from this platform."
Doesn't have AptX!,1.0,"As falsely claimed by Boat, doesn't have AptX. Could not use the AptX codec to play music on my phone.Though, decent bluetooth earphones for the price.Additionally, Boat products are not listed on the products subsection on aptx website. This means, they don't support AptX codec.Ps: Have used other AptX devices on my phone successfully."
Just received the product and one side of the earphone is not working,5.0,Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !
Overall good but not that worth,3.0,"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality."
Really boat beating all others in the price range of 5 or 6k,5.0,"I am a prime customer of Amazon and I always purchase a product after so much research bought these boat rokerz in the sale in 1099 and trust me I am blown away by these I have used sony and other headphones in the price range of 5 & 6k but this is just similar to them in this price range ""sound quality"" 10/10 ""battery life"" seems good not tested for as described but will update soon ""durability"" 10/10 perfect fit no pain no discomfort.... Really boat has done a fantastic job with amazing music quality with superb bass in all highs mids &lows ..... Just go for it."
Not accepting the charging within two days of purchase,1.0,"Let me tell you about the product in Details,1. Sound Quality is good. It is harmless for ears. Not too loud but traffic noise can't disturb you while listening music.2. Look is awesome but wires are too lengthy.3. Battery Backup 'WAS' awesome. Six to seven hours after 1 or 1.30 hours chargingBUT4. Product is not CHARGING AFTER ONLY TWO DAYS OF PURCHASE. And it is not acceptable. That's why the rating is ONE (lesser than one is not available though)I will change my ratings and review too but after the replacement or refund against this product.And one more thing, do not put too deep to this thing in your ears, it might be painful after few minutes.RegardsSIDDHARTH"
Unable to connect two devices simultaneously,4.0,Overall good!But I am unable to connect two devices simultaneously. Please Guide how can i do that.Thank you!
Buy if you want to hurt your ears,1.0,Cant hear from more than 60% volume.it will hurt your ears and hit directly to your brainBattery 100 to 60% than 0ReturnedBass 6/10Trebles 2/10Sound quality 5/10Battery 4/10Mic 7/10
Good product,4.0,👍🏻Boat rockerz 255 pro is a just good product.Battery : 6/10Overall sound : 8/10Bass : 8/10Treble : 6/10Mids : 6/10Highs : 5/10Build & Feel quality : 6/10Calling quality : 8/10Bluetooth connection : 7/10Allover product is OK OKThis problem is very minor (Negligible) : Some time bluetooth loses its connectivity for 0.5sec and again connects automatically.At Full volume there is no distortion in sound.Sound of earphones doesn't feel noisy.There is good effort from boat.AWESOME product for runner and gyming peoples.I got this product in 1299/-But i have written this review in perspective of price 1899/-
Defective piece and disrespectful Policy.,1.0,"No matter what is excellent in a product, it doesn't matter if it doesn't turn on after a day.You guys are enforcing a replacement for a failed model.We can't keep working with warranty and keep the product in manufacturer's shed for days.Got shut down in two days. Boat needs to review this product.Bottom 14% reviews say the same problem, issue with charging.I have purchased 5 boat devices so far I am disappointed for the first time because of this product and ""enforcement"" for replacement.This leaves me no option but to stop believing in BOAT's own customer service for the problems posted by customers. Amazon just play with its policies. Its the manufacturer who needs to go beyond and hel it's customers.Refund me for this defective product and I would like to purchase a new one of different model or make."
2 minute review,4.0,"◾Things We Like✔️Battery life is good enough to provide 10 hours of continuous use.✔️Designed with perfection to provide a smooth experience without any pain in ears.✔️Sound quality is decent and it offers normal to tremble and bit lower bass.✔️Comes at a very low price point which makes it perfect for that thing.◾Things We Didn’t Like❌Connectivity time is really high that it can frustrate you.❌Durability is the concern as some people have negative reviews about it.◾Verdict✔️As you look at such a low price point, there is no doubt that boAt is rocking in the section of great earbuds. If you want to enhance the music listening experience then you can easily go for other versions but if you have a tight budget then this one is the perfect choice to go for."
Defective product,1.0,"Defective product. Not working, had to return the defective product."
Don't Buy,1.0,This is very uncomfortable to wear as it is large in size.It's laterally coming out of the ears.You can't ware helmet while wearing this.it is more bad more painful.Bass is too loud... instrument separation is bad.Not worth the price.Only colour of the product is best...and rest of the things are worst.Go for another one.
255>>255 pro>>>255 pro+,1.0,"I have boat rockerz 255, I got my younger sister boat rockerz 255 pro..This one I bought for my younger brother..And guess what among the 3...These ones are most expensive and yet the worst soundwise...Even pro sounds better than this pro+..More battery, different not better design..and faster charging can never make for poor sound quality compared to predecessors.."
Frequent failures.,1.0,"The item has been rendered defective three times in less than two months of usage. The first two times was due to charging issue and the third time due to sound distortion. Being under warranty, the item has been repaired the first two times and now I have registered a compliant for the third failure. The product has spent more time at the service centre than I have used it. Am completely dissatisfied with the reliability of the product."
Really Cheep Quality,2.0,"Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one sideBoat Service on same again so pathetic , raise an complaint almost 10days back  for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS"
Read carefully!!!,5.0,"I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.I will say,Go for it."
Not so good,1.0,Battery is faulty
Not the worth,1.0,I had brought the piece after reading lot of reviews etc. when i purchased and started using it turned off and said battery low .. Thats fine as initial product charged battery full and started using it ..It started reconnecting most of time and sound started disappearing . I checking the range on the manual which said 10m and i saw when i placed my mobile in shirts pocket it was perfect and working and when i moved it to pants pocket it disconnected and reconnected . and it kept happening with 100% charge and was totally waste of time and value for this .Tried many times and got to know its very small range one and doesnt come with proper range.
Average,3.0,"It has fast charging and dual connectivity but i have noticed some issues. While using it, i can hear some noise through the headset and when i stop playing music or videos after 25 sec a small tik sound comes and the noise stops. If it is just connected and not playing anything, no noise can  be heard.Another thing is that, it doesn't show battery charge correctly. Sometimes it shows sudden drop in charge and the next second it shows full charge without recharging.If anyone has the same issues kindly  comment your experience. This is my second headset after replacement.Both have the same issue.While using it, i can hear some noise  through the headset, just like the noice that is heared while tuning a radio and when i stop playing music or videos after 25 sec a small tik sound comes and the noise stops. If it is just connected and not playing anything, no noise can  be heard.Is that usual?Does anyone have the same issue?"
Review after 2 days of continuous use,3.0,Pros:1. Good base 8/102. Very good mic 10/10Cons :1. Mids are 3/102. Treable 5/103. Worst thing battery indicator does not show actual bettery level properly. It jumps from 100 percent to 60 percent then directly 0.4. Fast charging supported but after full charge it only lasts 4 to 4.5 hrs.5. Dont buy Sea green color it looks very old and blackish.Overall its average in sound quality but very good for calling.
Ok quality,1.0,The headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime
Bad quality and pathetic after sales service,1.0,One of the worst headphones that I have used in recent times.  My headphones suddenly stopped charging after 2 months of purchase and I took them to the service center. They did not had any replacement available in stock so registered a complaint. Complaint status showed that the pickup request will be generated in 1 business day. Nothing happened even after 2 days. I needed a replacement urgently as I was working without any headphones so I called customer care again. I got a standard reply that you will get the resolution in the next 48 hours. Nothing moved. I again called them after 3 days ( 7 days since my complaint was registered). The executive on the other side said that the issue will be resolved in the next 72 hours. I kept on telling her that I am without headphones and if I don't get the resolution immediately then I will be forced to buy a new headset and that would not be just.  I was appalled by the unprofessionalism of an executive on-call. She was totally unaware of the actual problem on why replacement is getting delayed and despite my request refused to even come back on it or provide any assistance of any sort except 72 hours rant.@boat If the warranty of the product has not been honored even after a week then it's the same as not giving a warranty at all. Please remove all the false claims from portals.
Awesome bass and battery life,5.0,Awesome bass. This is even at low volume. So if bass is your thing these are the earphones for you. Really like the sound. There could be more clarity but nonetheless these are good.Great battery life as well. Lasts about 5-6 hours.The only grouse is that they are not very comfortable. I changed the plugs to the smallest but my ears still hurt. Maybe just takes getting used to.Spent 999 for it on the great Indian sale. Definitely worth it.
"A Rock-Solid Performing Top of the Line Neckband Bluetooth Earphone @ Rs 1,500!!!!!",5.0,"First of all the Pros:1. Bass - I have used tons of Bluetooth earphones from brands like OnePlus (Wireless Z & Z Bass Version), Boat (TWS, Rockerz 335), Boult Audio (TWS) and Truke (TWS) including neckband and TWS types. But, none of them had Bass as good as the ones on the 255 Pro+. I have never before in my life listened to any wired/wireless earphone which gave bass as good as the ones on 255 Pro+.2. Battery - Company claims 40 hrs playback time on a single charge when listened at 50% volume (device volume). Even many YouTube reviewers have done reviews and said the battery life came close to 32-34 hrs at he max. Even another Youtuber said battery life will come around the 26-27 hrs mark (of course i never believed him). But Boy, I tested the music playback time on these on my secondary device. Kept the phone volume to 40% and the earphone volume to around 50% mark and I got a loud, bassy and enjoyable soundstage while achieving a battery life of a ROCKSOLID 47 hrs 52 mins before I started getting the ""Battery Low"" voice prompt every 1 min. At this stage the battery was at 20%. Close to 48 hrs against the company claim of 40 hrs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! THIS IS INSANE!!!!!!!!!!!!!!! Not sure why the company underplayed the numbers here XD.3. Sound Quality - At the price point of Rs 1,500, don't expect quality to be as good as Sony, Bose or Apple. But what i got was decent instrument separation, above average overall clarity, excellent bass (forget other options at any other/given price point). I am going to use these as my daily driver to accompany with my Oppo Reno 10x Zoom which lacks a 3.5mm jack.4. Built Quality - Many reviewers here on Amazon and Youtube cited the cheap built quality. Trust me once you experience the above 3 Pros, built quality aspect will become negligible. Also, I personally felt these very comfortable over the neck. At times I even forgot it was there.5. IPX7 rating - This is awesome at this price point.Cons:Human beings are greedy creatures. The way the battery life was performing, I was expecting to reach 50 hrs of music playback time xD. But come on, getting 8 hrs on top of the company claimed 40 hrs is in itself INSANE!!!Few reviewers complained of a hissing sound. I never got one (neither while listening during the day time or night time).Bottom Line:I am planning to get another one if this one fails in the next 1 year. Am sure if taken care properly, these will last atleast for a good 2-3 years. Better buy these before gets out of stock. Going to do a review on YouTube soon."
Please don't buy this it's been only three months and it's one earphone is not working properly .,1.0,Very bad it's been only 3 months and it's one earphone is not working . One year warranty is useless no service centre service is there for help only waste of money .
Best For PUBG Mobile,5.0,"The main reason I bought this wireless earphone is Pubg mobile and I heard a lot of about Latency issues in wireless earphones but this one amazed me truely.1. YOU WILL HEAR FOOTSTEP WITHOUT ANY LATENCY ISSUE.2. THE BATTERY BACKUP IS ABSOLUTELY MINDBLOWING. (6-8 HOURS SMOOTHLY WITH 8/10 VOLUME RATIO WHICH I FEEL IS SUFFICIENT).3. THE BASE IS JUST PERFECT FOR GAMING AND MUSIC, NO PAIN IN EAR AND NO BLUNDER OF BASE WHILE HEARING EDM OR FIRING FROM AKM.I have used Rockerz 255, Oneplus Bullet wired and Mivi but nothing can be compared in front of 255 Pro.Best product with the best price!"
It's a piece of Garbage,1.0,Let me tell you that don't buy this. Yes it's true that it's the best product you can get for the price (I doubt that) but definitely it's not the best product YOU should buy.Problems faced:1. Battery is pathetic. Mostly gives 3 hours of playtime2. The earphones get disconnected if you even go to the next room3. Sound is too low. I have to use 3rd party Equalizer to listen clearly4. The bass is also not good. Have to rely on the 3rd party appsThe only thing is Boat has a very good warranty service but the problems with the device make it a garbage af
Average product,3.0,"The reason for this being an average product is that the pros are excellent but the cons also work against it.Pros:>Good noise cancellation>Excellent sound quality>Range is not bad>Good battery lifeCons:>The soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.>Durability: The left earpiece of my headphones stopped working within 2 months of use. The company repaired it and gave it back, but the time taken for the same was long. Also, the left earpiece projects lower sound than the right one.>It does not inform when the Bluetooth gets disconnected after going out of range.>Becomes useless after the battery reaches 20%. It keeps informing 'Oops! Battery low!' after every minute for the next 10 minutes and then switches off."
Just perfect and amazing product.,5.0,"This product is just amazing....sound quality, its weight, its texture everything is perfect....you can connect to FM by connecting the wired earphones and then play it on loudspeaker....you can listen the fm from your Bluetooth earpiece.Don't think just go for it."
Not the Best Bass! EDIT: THE ABSOLUTE BEST BASS!!!,5.0,"This is my first time using a boat earphone, I was using a wired earphone with the company or brand I don't know, I've got it as a gift from my relatives abroad, but the bass compared to that earphone, this doesn't have much bass, I don't know everyone keeps boasting this earphone is specifically made for bass, I had to go to the Equalizer and tweak the bass, even though it doesn't come closer to my other earphone, the highs are high lows are low, and if I tweak more I can feel the stress on the little speakers, I had a concert like experience with my other earphone but this one is average, and should be priced around 800 -900, this is overpriced and overrated.Aside from the bass it's all good so far, bluetooth connectivity is good, range is good, call quality is good, lag latency is low, battery backup is good.And the audio codec is SBC, AAC is supported but every time I set it to AAC it resets back to SBC, based on my research you'll need aptx hd to change the codecs. Which this earphone doesn't have.**UPDATE**I CAN PLAY AAC NOW, IT'S MY BAD, AFTER UPDATING MY PHONES FIRMWARES I'M ABLE TO PLAY AAC CODEC ON MY ROCKERZ 255 PROAND DO NOTE THAT THE SOUND QUALITY IS AWESOME, SUCH IMPROVEMENT..GO FOR IT! I TAKE BACK ALL I SAID BEFORE.P.S ** YOUR PHONE MUST SUPPORT AAC CODEC BLUETOOTH V.5 WOULD BE BETTER, OTHERWISE THE SOUND QUALITY IS AWFUL I GOT IT WORKING ON MY PHONE AFTER AN UPDATE**"
All Over Very Good 😊👍,5.0,I give 5 star ⭐⭐⭐⭐⭐ For Five Reasons1. Comfortable 😌😊 And Easy To Use2. Sound 🔊 Quality Is More Better Then Other Headphones3. Battery Is Just Like You Never Seen Before4. Design Is Very Great Separate Control Unit5. Deep Base And I can Connect With 2 Device At Same Time .Finally All Over This Neckband Is Very Good.. For 2021
Mediocre Earphone,3.0,"This pro + version has main highlight of1. Heavy duty battery2. Fast Charging.I can't see any other feature that can attract a customer.I had purchased this one for my hubby. I already have oneplus wireless Z purchased in a price of 2k. So, obviously you will start comparing it with. The oneplus had a very little bass. Hoping that Boat would have a better bass and 40 hr battery backup it would be a steal deal in 1.5k.Amazon delivered it in two days. Pretty fast. When I unpacked the earphone, my first impression was it's cheap material quality. You can ignore this for a moment. But when I connected to a phone, it's BASS quality disappointed me. Also it's sound quality is not up to the standard of even Boat 255 (which is now available in less than 1000). It's magnet do not work as switch on/off like in oneplus.Call quality: It's noise cancellation is also poor. (Considering it with a dedicated mic near your mouth).Overall I am disappointed with this."
Be Smart and Then you will be Happy,4.0,"The media could not be loaded.
                




   Nice one the 2nd time. As I ordered initially I got a copy product and then returned it and later got this one and it works 👍(Tip : Warranty Card didn't Came with the copy product)"
Not symmetrical... doesn't fit properly..cannot return only replacement available,2.0,"It's good for the someone who need battery life. but it's very uncomfortable to wear as it's right side is more heavy due to volume controls.Everytime I wear ,the right side of the headset slide down a little as that side is more heavy."
Disappointed,1.0,Totally disappointed with the product and returned it. Boat rockerz 225 is better than this.
